rest_id,day,month,weeday,weekend,is_holiday,is_dec,is_nov,competitors_price,discounts,sales
0,1/1/2016,1,4,FALSE,TRUE,FALSE,FALSE,2.88,0,79
0,1/2/2016,1,5,TRUE,FALSE,FALSE,FALSE,2.64,0,57
0,1/3/2016,1,6,TRUE,FALSE,FALSE,FALSE,2.08,5,294
0,1/4/2016,1,0,FALSE,FALSE,FALSE,FALSE,3.37,15,676.5
0,1/5/2016,1,1,FALSE,FALSE,FALSE,FALSE,3.79,0,66
0,1/6/2016,1,2,FALSE,FALSE,FALSE,FALSE,4.57,0,69
0,1/7/2016,1,3,FALSE,FALSE,FALSE,FALSE,2.57,20,1116
0,1/8/2016,1,4,FALSE,FALSE,FALSE,FALSE,5.87,15,672.5
0,1/9/2016,1,5,TRUE,FALSE,FALSE,FALSE,6,5,223
0,1/10/2016,1,6,TRUE,FALSE,FALSE,FALSE,4.89,25,771
0,1/11/2016,1,0,FALSE,FALSE,FALSE,FALSE,3,10,525
0,1/12/2016,1,1,FALSE,FALSE,FALSE,FALSE,3.26,35,1444.5
0,1/13/2016,1,2,FALSE,FALSE,FALSE,FALSE,5.69,15,528.5
0,1/14/2016,1,3,FALSE,FALSE,FALSE,FALSE,3.51,15,765
0,1/15/2016,1,4,FALSE,FALSE,FALSE,FALSE,6.07,15,589
0,1/16/2016,1,5,TRUE,FALSE,FALSE,FALSE,3.68,5,304.5
0,1/17/2016,1,6,TRUE,FALSE,FALSE,FALSE,2.85,25,1260
0,1/18/2016,1,0,FALSE,TRUE,FALSE,FALSE,4.96,5,233.5
0,1/19/2016,1,1,FALSE,FALSE,FALSE,FALSE,2.77,10,441
0,1/20/2016,1,2,FALSE,FALSE,FALSE,FALSE,5.82,5,193
0,1/21/2016,1,3,FALSE,FALSE,FALSE,FALSE,3.64,5,270
0,1/22/2016,1,4,FALSE,FALSE,FALSE,FALSE,5.57,15,548
0,1/23/2016,1,5,TRUE,FALSE,FALSE,FALSE,4.38,5,242.5
0,1/24/2016,1,6,TRUE,FALSE,FALSE,FALSE,5.63,0,64
0,1/25/2016,1,0,FALSE,FALSE,FALSE,FALSE,5.95,5,171
0,1/26/2016,1,1,FALSE,FALSE,FALSE,FALSE,3.08,5,292
0,1/27/2016,1,2,FALSE,FALSE,FALSE,FALSE,4.54,0,50
0,1/28/2016,1,3,FALSE,FALSE,FALSE,FALSE,4.6,15,596
0,1/29/2016,1,4,FALSE,FALSE,FALSE,FALSE,3.7,15,739
